internalCode;responsible;performanceType;createdAt
17;Demandante;RADICA_IMPULSO_PROCESAL;18/04/22
17;Demandante;RADICA_IMPULSO_PROCESAL;06/06/22
17;Demandante;RADICA_IMPULSO_PROCESAL;01/09/22
17;Demandante;RADICA_IMPULSO_PROCESAL;07/10/22
17;Juzgado;FIJA_AUDIENCIA;12/07/23
17;Juzgado;FIJA_AUDIENCIA;23/08/23
17;Juzgado;CONCILIADO;13/02/24
18;Demandante;RADICADO;19/02/24
18;Juzgado;ADMITE;16/08/24
18;Juzgado;ADMITE;16/10/24
18;Demandante;NOTIFICACION_PERSONAL;19/08/25
18;Juzgado;INADMITE_CONTESTACION;23/09/25
19;Demandante;RADICADO;29/04/22
19;Juzgado;INADMITIDO;13/10/22
19;Demandante;SUBSANACION;25/10/22
19;Juzgado;ADMITE;22/11/22
19;Demandante;RADICA_IMPULSO_PROCESAL;13/09/22
19;Demandante;RADICA_IMPULSO_PROCESAL;27/07/23
19;Demandado;CONTESTACION_DEMANDA;18/07/23
19;Juzgado;ADMITE;22/06/23
19;Demandante;NOTIFICACION_PERSONAL;27/06/23
19;Juzgado;ADMITE;02/02/24
19;Juzgado;FIJA_AUDIENCIA;09/04/24
19;Juzgado;CONCILIADO;25/04/25
20;Demandante;RADICADO;02/11/22
20;Demandante;SUBSANACION;23/02/23
20;Juzgado;ADMITE;15/03/23
20;Demandante;RADICA_IMPULSO_PROCESAL;16/03/23
20;Juzgado;ADMITE;23/06/23
20;Demandado;CONTESTACION_DEMANDA;10/07/23
20;Juzgado;FIJA_AUDIENCIA;22/04/24
20;Juzgado;FIJA_AUDIENCIA;25/04/24
20;Demandante;RADICA_IMPULSO_PROCESAL;17/04/24
20;Demandante;RADICA_IMPULSO_PROCESAL;14/06/24
20;Demandante;RADICA_IMPULSO_PROCESAL;06/09/24
20;Juzgado;FIJA_AUDIENCIA;18/10/24
20;Juzgado;FIJA_AUDIENCIA;12/12/24
20;Demandante;RADICA_IMPULSO_PROCESAL;07/05/25
20;Juzgado;CONCILIADO;08/05/25
21;Demandante;RADICADO;04/11/22
21;Juzgado;INADMITIDO;01/12/22
21;Juzgado;ADMITE;15/12/22
21;Juzgado;FIJA_AUDIENCIA;23/01/24
21;Juzgado;CONCILIADO;01/02/24
22;Demandante;RADICADO;28/11/22
22;Juzgado;INADMITIDO;01/02/23
22;Juzgado;ADMITE;11/05/23
22;Juzgado;FIJA_AUDIENCIA;11/03/24
22;Juzgado;CONCILIADO;21/06/24
23;Demandante;RADICADO;21/02/23
23;Juzgado;ADMITE;27/02/23
23;Demandante;NOTIFICACION_PERSONAL;28/02/23
23;Demandado;CONTESTACION_DEMANDA;17/03/23
23;Juzgado;ADMITE;20/02/24
23;Juzgado;FIJA_AUDIENCIA;23/02/24
23;Juzgado;CONCILIADO;15/03/24
24;Demandante;RADICADO;16/02/21
24;Juzgado;INADMITIDO;07/07/21
24;Demandante;SUBSANACION;12/07/21
24;Juzgado;ADMITE;22/02/22
24;Demandante;NOTIFICACION_PERSONAL;29/07/22
24;Demandado;CONTESTACION_DEMANDA;23/03/22
24;Demandado;CONTESTACION_DEMANDA;17/08/22
24;Demandado;CONTESTACION_DEMANDA;14/09/22
24;Demandante;RADICA_IMPULSO_PROCESAL;25/01/22
24;Demandante;RADICA_IMPULSO_PROCESAL;18/04/22
24;Demandante;RADICA_IMPULSO_PROCESAL;06/06/22
24;Demandante;RADICA_IMPULSO_PROCESAL;01/07/22
24;Demandante;RADICA_IMPULSO_PROCESAL;13/09/22
24;Juzgado;INADMITE_CONTESTACION;11/05/23
24;Juzgado;FIJA_AUDIENCIA;28/07/23
24;Juzgado;FIJA_AUDIENCIA;22/04/24
24;Juzgado;FIJA_AUDIENCIA;22/07/24
24;Juzgado;FIJA_AUDIENCIA;21/10/24
24;Juzgado;FIJA_AUDIENCIA;14/08/25
25;Demandante;RADICADO;05/02/21
25;Demandante;RADICA_IMPULSO_PROCESAL;10/05/21
25;Demandante;RADICA_IMPULSO_PROCESAL;11/08/21
25;Juzgado;INADMITIDO;01/10/21
25;Demandante;SUBSANACION;07/10/21
25;Juzgado;ADMITE;21/10/21
25;Demandante;NOTIFICACION_PERSONAL;05/11/21
25;Demandante;RADICA_IMPULSO_PROCESAL;16/12/21
25;Juzgado;ADMITE;22/03/22
25;Demandante;RADICA_IMPULSO_PROCESAL;11/08/22
25;Demandante;RADICA_IMPULSO_PROCESAL;27/06/24
25;Demandante;RADICA_IMPULSO_PROCESAL;12/07/24
25;Demandante;RETIRO_DEMANDA;05/11/24
25;Demandante;RETIRO_DEMANDA;25/11/24
26;Demandante;RADICADO;19/01/21
26;Juzgado;INADMITIDO;28/06/21
26;Juzgado;ADMITE;24/11/21
26;Juzgado;INADMITE_CONTESTACION;05/08/22
26;Juzgado;FIJA_AUDIENCIA;04/11/22
26;Juzgado;CONCILIADO;08/03/23
27;Demandante;RADICADO;10/02/21
27;Demandante;RADICA_IMPULSO_PROCESAL;10/05/21
27;Demandante;RADICA_IMPULSO_PROCESAL;11/08/21
27;Demandante;RADICA_IMPULSO_PROCESAL;09/12/21
27;Juzgado;FINALIZADO_RECHAZO;27/07/22
28;Demandante;RADICADO;21/07/21
28;Demandante;RADICA_IMPULSO_PROCESAL;21/03/24
28;Demandante;RADICA_IMPULSO_PROCESAL;08/05/24
28;Demandante;RADICA_IMPULSO_PROCESAL;29/05/24
28;Demandante;RADICA_IMPULSO_PROCESAL;12/07/24
28;Demandado;CONTESTACION_DEMANDA;09/06/25
28;Juzgado;ADMITE;07/07/25
28;Juzgado;FIJA_AUDIENCIA;07/07/25
29;Juzgado;ARCHIVADO;09/03/23
30;Demandante;RADICADO;24/03/22
30;Juzgado;ADMITE;24/02/23
30;Juzgado;ADMITE;24/11/23
30;Demandante;RADICA_IMPULSO_PROCESAL;10/04/23
30;Demandante;RADICA_IMPULSO_PROCESAL;28/03/23
30;Demandante;RADICA_IMPULSO_PROCESAL;05/05/23
30;Demandante;RADICA_IMPULSO_PROCESAL;17/05/23
30;Demandante;RADICA_IMPULSO_PROCESAL;27/07/23
30;Demandante;RADICA_IMPULSO_PROCESAL;11/09/23
30;Demandante;RADICA_IMPULSO_PROCESAL;26/10/23
30;Demandante;RADICA_IMPULSO_PROCESAL;02/07/24
30;Demandante;RADICA_IMPULSO_PROCESAL;17/07/24
30;Demandante;RADICA_IMPULSO_PROCESAL;01/10/24
30;Demandante;RADICA_IMPULSO_PROCESAL;06/12/24
30;Demandante;RADICA_IMPULSO_PROCESAL;08/04/25
31;Demandante;RADICADO;25/07/23
31;Juzgado;INADMITIDO;26/10/23
31;Demandante;SUBSANACION;03/11/23
31;Juzgado;ADMITE;28/11/23
31;Demandante;NOTIFICACION_PERSONAL;05/12/23
31;Demandado;CONTESTACION_DEMANDA;11/01/24
31;Juzgado;INADMITE_CONTESTACION;21/03/24
31;Demandante;SUBSANACION;05/04/24
31;Juzgado;ADMITE;30/05/24
31;Juzgado;FIJA_AUDIENCIA;30/05/24
31;Demandante;RADICA_IMPULSO_PROCESAL;06/09/24
31;Demandante;RADICA_IMPULSO_PROCESAL;20/11/24
31;Juzgado;CONCILIADO;21/11/24
32;Demandante;RADICADO;25/07/23
32;Juzgado;INADMITIDO;26/10/23
32;Demandante;SUBSANACION;03/11/23
32;Juzgado;ADMITE;28/11/23
32;Demandante;NOTIFICACION_PERSONAL;05/12/23
32;Demandado;CONTESTACION_DEMANDA;11/01/24
32;Juzgado;INADMITE_CONTESTACION;21/03/24
32;Demandante;SUBSANACION;05/04/24
32;Juzgado;ADMITE;30/05/24
32;Juzgado;FIJA_AUDIENCIA;30/05/24
32;Demandante;RADICA_IMPULSO_PROCESAL;06/09/24
32;Demandante;RADICA_IMPULSO_PROCESAL;20/11/24
32;Juzgado;CONCILIADO;18/07/24
33;Demandante;RADICADO;24/07/23
33;Juzgado;INADMITIDO;08/11/23
33;Demandante;SUBSANACION;15/11/23
33;Juzgado;ADMITE;11/01/24
33;Demandante;NOTIFICACION_PERSONAL;17/01/24
33;Demandado;CONTESTACION_DEMANDA;31/01/24
33;Juzgado;INADMITE_CONTESTACION;21/03/24
33;Demandante;SUBSANACION;05/04/24
33;Juzgado;ADMITE;28/05/24
33;Juzgado;FIJA_AUDIENCIA;28/05/24
33;Demandante;RADICA_IMPULSO_PROCESAL;14/06/24
33;Demandante;RADICA_IMPULSO_PROCESAL;06/09/24
33;Juzgado;FIJA_AUDIENCIA;05/11/24
33;Juzgado;CONCILIADO;19/12/24
34;Demandante;RADICADO;19/02/24
34;Juzgado;INADMITIDO;26/11/24
34;Demandante;SUBSANACION;27/11/24
34;Juzgado;ADMITE;10/12/24
34;Demandante;NOTIFICACION_PERSONAL;11/12/24
34;Juzgado;FIJA_AUDIENCIA;12/02/25
34;Juzgado;FIJA_AUDIENCIA;12/06/25
34;Juzgado;FIJA_AUDIENCIA;18/07/25
34;Juzgado;CONCILIADO;03/09/25
35;Demandante;RADICADO;19/02/24
35;Juzgado;INADMITIDO;26/11/24
35;Demandante;SUBSANACION;27/11/24
35;Juzgado;ADMITE;10/12/24
35;Demandante;NOTIFICACION_PERSONAL;11/12/24
35;Juzgado;FIJA_AUDIENCIA;12/02/25
35;Juzgado;FIJA_AUDIENCIA;12/06/25
35;Juzgado;FIJA_AUDIENCIA;18/07/25
35;Juzgado;CONCILIADO;03/09/25
36;Demandante;RADICADO;19/02/24
36;Juzgado;INADMITIDO;26/11/24
36;Demandante;SUBSANACION;27/11/24
36;Juzgado;ADMITE;10/12/24
36;Demandante;NOTIFICACION_PERSONAL;11/12/24
36;Juzgado;FIJA_AUDIENCIA;12/02/25
36;Juzgado;FIJA_AUDIENCIA;12/06/25
36;Juzgado;FIJA_AUDIENCIA;18/07/25
37;Demandante;RADICADO;21/07/23
37;Juzgado;INADMITIDO;08/11/23
37;Demandante;SUBSANACION;15/11/23
37;Juzgado;ADMITE;11/01/24
37;Demandante;NOTIFICACION_PERSONAL;17/01/24
37;Demandado;CONTESTACION_DEMANDA;31/01/24
37;Juzgado;INADMITE_CONTESTACION;21/03/24
37;Demandante;SUBSANACION;05/04/24
37;Juzgado;ADMITE;22/05/24
37;Juzgado;FIJA_AUDIENCIA;22/05/24
37;Demandante;RADICA_IMPULSO_PROCESAL;14/06/24
37;Demandante;RADICA_IMPULSO_PROCESAL;06/09/24
37;Juzgado;CONCILIADO;21/01/25
38;Demandante;RADICADO;14/02/24
38;Juzgado;ADMITE;03/05/24
38;Demandante;NOTIFICACION_PERSONAL;03/05/24
38;Juzgado;FIJA_AUDIENCIA;14/02/25
38;Juzgado;FIJA_AUDIENCIA;14/02/25
38;Juzgado;FIJA_AUDIENCIA;12/09/25
39;Demandante;RADICADO;21/07/23
39;Juzgado;INADMITIDO;08/11/23
39;Demandante;SUBSANACION;15/11/23
39;Juzgado;ADMITE;11/01/24
39;Demandante;NOTIFICACION_PERSONAL;17/01/24
39;Demandado;CONTESTACION_DEMANDA;31/01/24
39;Juzgado;INADMITE_CONTESTACION;21/03/24
39;Demandante;SUBSANACION;05/04/24
39;Juzgado;ADMITE;22/05/24
39;Juzgado;FIJA_AUDIENCIA;22/05/24
39;Juzgado;CONCILIADO;21/01/25
40;Demandante;RADICADO;04/05/23
40;Juzgado;INADMITIDO;20/06/23
40;Demandante;SUBSANACION;20/06/23
40;Juzgado;ADMITE;28/07/23
40;Juzgado;ADMITE;05/10/23
40;Juzgado;FIJA_AUDIENCIA;05/10/23
40;Juzgado;CONCILIADO;22/02/24
41;Demandante;RADICADO;14/02/24
41;Juzgado;ADMITE;19/07/24
41;Demandante;NOTIFICACION_PERSONAL;25/07/24
41;Juzgado;CONCILIADO;27/03/25
42;Juzgado;CONCILIADO;26/02/25
43;Demandante;RADICADO;19/02/24
43;Juzgado;ADMITE;05/03/24
43;Juzgado;FIJA_AUDIENCIA;12/09/24
43;Juzgado;CONCILIADO;21/01/25
44;Demandante;RADICADO;19/01/24
44;Juzgado;ADMITE;23/02/24
44;Juzgado;FIJA_AUDIENCIA;28/08/24
44;Juzgado;CONCILIADO;30/10/24
45;Demandante;RADICADO;14/02/24
45;Juzgado;ADMITE;27/02/24
45;Juzgado;FIJA_AUDIENCIA;16/07/25
45;Juzgado;CONCILIADO;14/08/25
46;Demandante;RADICADO;13/02/24
46;Juzgado;INADMITIDO;09/09/24
46;Demandante;SUBSANACION;09/09/24
46;Juzgado;ADMITE;03/04/25
46;Demandante;NOTIFICACION_PERSONAL;04/04/25
47;Demandante;RADICADO;09/05/23
47;Juzgado;ADMITE;23/05/23
47;Juzgado;ADMITE;26/06/23
47;Juzgado;FIJA_AUDIENCIA;26/06/23
47;Juzgado;CONCILIADO;23/10/24
48;Demandante;RADICADO;16/05/23
48;Juzgado;ADMITE;08/06/23
48;Demandante;NOTIFICACION_PERSONAL;14/06/23
48;Demandado;CONTESTACION_DEMANDA;30/06/23
48;Juzgado;FIJA_AUDIENCIA;24/11/23
48;Juzgado;FIJA_AUDIENCIA;29/10/24
48;Juzgado;CONCILIADO;24/02/25
49;Demandante;RADICADO;14/07/23
49;Juzgado;INADMITIDO;08/11/23
49;Demandante;SUBSANACION;15/11/23
49;Juzgado;ADMITE;11/01/24
49;Demandado;CONTESTACION_DEMANDA;31/01/24
49;Juzgado;INADMITE_CONTESTACION;04/04/24
49;Demandante;SUBSANACION;11/04/24
49;Juzgado;ADMITE;22/05/24
49;Juzgado;FIJA_AUDIENCIA;22/05/24
49;Juzgado;CONCILIADO;21/01/25
50;Demandante;RADICADO;21/07/23
50;Juzgado;INADMITIDO;08/11/23
50;Demandante;SUBSANACION;15/11/23
50;Juzgado;ADMITE;12/01/24
50;Demandado;CONTESTACION_DEMANDA;31/01/24
50;Juzgado;FIJA_AUDIENCIA;23/04/24
50;Juzgado;CONCILIADO;03/10/24
51;Demandante;RADICADO;28/06/23
51;Juzgado;ADMITE;01/08/23
51;Demandado;CONTESTACION_DEMANDA;22/08/23
51;Juzgado;FIJA_AUDIENCIA;07/11/23
51;Juzgado;FIJA_AUDIENCIA;25/10/24
51;Juzgado;CONCILIADO;10/12/25
52;Demandante;RADICADO;10/03/25
52;Juzgado;INADMITIDO;26/03/25
53;Demandante;RADICADO;02/08/23
53;Juzgado;ADMITE;21/09/23
53;Demandado;CONTESTACION_DEMANDA;01/11/23
53;Juzgado;FIJA_AUDIENCIA;26/01/24
53;Juzgado;FIJA_AUDIENCIA;06/02/24
53;Juzgado;CONCILIADO;12/07/24
54;Demandante;RADICADO;13/02/24
54;Juzgado;ADMITE;09/07/24
54;Juzgado;FIJA_AUDIENCIA;18/02/25
54;Juzgado;CONCILIADO;20/08/25
55;Demandante;RADICADO;30/08/23
55;Juzgado;INADMITIDO;19/07/24
55;Juzgado;ADMITE;06/08/24
55;Juzgado;INADMITE_CONTESTACION;09/06/25
55;Juzgado;FIJA_AUDIENCIA;30/07/25
55;Juzgado;CONCILIADO;23/10/25
56;Demandante;RADICADO;27/07/23
56;Juzgado;ADMITE;18/08/23
56;Demandado;CONTESTACION_DEMANDA;10/11/23
56;Juzgado;FIJA_AUDIENCIA;21/05/24
56;Juzgado;FIJA_AUDIENCIA;23/05/24
56;Juzgado;FIJA_AUDIENCIA;03/09/24
56;Juzgado;FIJA_AUDIENCIA;03/12/24
56;Juzgado;CONCILIADO;07/03/25
57;Demandante;RADICADO;27/07/23
57;Juzgado;ADMITE;05/10/23
57;Demandado;CONTESTACION_DEMANDA;02/11/23
57;Juzgado;FIJA_AUDIENCIA;16/07/25
57;Juzgado;CONCILIADO;14/08/25
58;Demandante;RADICADO;02/08/23
58;Juzgado;ADMITE;17/08/23
58;Demandado;CONTESTACION_DEMANDA;05/09/23
58;Juzgado;INADMITE_CONTESTACION;16/04/24
58;Demandante;SUBSANACION;22/04/24
58;Juzgado;FIJA_AUDIENCIA;18/07/24
58;Juzgado;CONCILIADO;25/09/24
59;Demandante;RADICADO;11/03/25
59;Juzgado;ADMITE;04/04/25
60;Demandante;RADICADO;02/04/24
60;Juzgado;INADMITIDO;11/04/24
60;Demandante;SUBSANACION;11/04/24
60;Juzgado;ADMITE;19/06/24
60;Juzgado;INADMITE_CONTESTACION;26/07/24
60;Juzgado;ADMITE;02/08/24
60;Juzgado;CONCILIADO;11/09/25
61;Juzgado;CONCILIADO;08/09/25
62;Juzgado;CONCILIADO;08/05/25
63;Juzgado;CONCILIADO;23/05/24
64;Demandante;RADICADO;27/07/23
64;Juzgado;ADMITE;17/10/23
64;Demandado;CONTESTACION_DEMANDA;14/11/23
64;Juzgado;FIJA_AUDIENCIA;12/12/24
64;Juzgado;CONCILIADO;22/09/25
65;Juzgado;CONCILIADO;07/11/24
66;Juzgado;CONCILIADO;28/11/24
67;Demandante;RADICADO;02/04/24
67;Juzgado;ADMITE;13/05/25
68;Demandante;RADICADO;12/07/23
68;Juzgado;INADMITIDO;01/09/23
68;Demandante;SUBSANACION;08/09/23
68;Juzgado;ADMITE;26/01/24
68;Demandado;CONTESTACION_DEMANDA;16/02/24
68;Juzgado;INADMITE_CONTESTACION;17/05/24
68;Demandante;SUBSANACION;22/05/24
68;Juzgado;ADMITE;10/07/24
68;Juzgado;FIJA_AUDIENCIA;09/06/25
68;Juzgado;CONCILIADO;04/12/24
69;Demandante;RADICADO;30/06/23
69;Juzgado;ADMITE;06/07/23
69;Demandado;CONTESTACION_DEMANDA;24/07/23
69;Juzgado;FIJA_AUDIENCIA;08/08/23
69;Juzgado;CONCILIADO;20/05/24
70;Demandante;RADICADO;10/07/23
70;Juzgado;ADMITE;17/07/23
70;Demandado;CONTESTACION_DEMANDA;11/08/23
70;Juzgado;FIJA_AUDIENCIA;15/04/24
70;Juzgado;CONCILIADO;16/11/24
71;Demandante;RADICADO;28/06/23
71;Juzgado;INADMITIDO;07/07/23
71;Demandante;SUBSANACION;17/07/23
71;Juzgado;ADMITE;22/08/23
71;Demandado;CONTESTACION_DEMANDA;11/09/23
71;Juzgado;FIJA_AUDIENCIA;19/01/24
71;Juzgado;CONCILIADO;16/07/24
72;Demandante;RADICADO;08/08/23
72;Juzgado;ADMITE;18/03/24
72;Demandado;CONTESTACION_DEMANDA;12/04/24
72;Juzgado;FIJA_AUDIENCIA;14/02/25
72;Juzgado;CONCILIADO;28/03/25
73;Demandante;RADICADO;21/03/24
73;Juzgado;INADMITIDO;14/06/24
73;Demandante;SUBSANACION;14/06/24
73;Juzgado;ADMITE;23/09/24
73;Demandado;CONTESTACION_DEMANDA;03/12/24
73;Juzgado;CONCILIADO;10/07/25
74;Juzgado;FIJA_AUDIENCIA;NA
75;Demandante;RADICADO;26/04/24
75;Juzgado;ADMITE;07/06/24
75;Demandado;CONTESTACION_DEMANDA;25/06/24
75;Juzgado;FIJA_AUDIENCIA;20/03/25
76;Demandante;RADICADO;03/05/24
76;Juzgado;ADMITE;14/05/24
76;Demandado;CONTESTACION_DEMANDA;07/06/24
76;Juzgado;FIJA_AUDIENCIA;11/03/25
76;Juzgado;CONCILIADO;19/06/25
77;Juzgado;ADMITE;20/02/25
78;NA;INADMITIDO;NA
79;Demandante;RADICADO;19/04/24
79;Juzgado;INADMITIDO;27/06/24
79;Demandante;SUBSANACION;27/06/24
79;Juzgado;ADMITE;31/10/24
79;Juzgado;FIJA_AUDIENCIA;23/01/25
79;Juzgado;CONCILIADO;10/03/25
